Melhor Conhecido;HardBFD;0;1;2;3;4;5;6;7;8;9;10;11
0,0181;660,4198895;25,3038674;220,7116022;36,90607735;4,861878453;247,2309392;147,1906077;146,9745856;0;244,859116;180,6088398;17,23756906;25,19337017
0,00151795;16220,6298;1301,890708;1573,309398;1848,680787;2452,126223;1067,363879;1614,153958;1726,147106;743,242531;1852,633486;0;1958,038802;963,276129
0,01434;329,0237099;283,304742;38,49372385;284,9372385;37,79637378;36,40167364;47,83821478;47,14086471;0;42,67782427;283,1680614;28,17294282;33,89121339
0,0152651;192,5863571;3,290512345;1,46281387;1,097274174;4,63147965;1,584660435;0;4,63147965;1,95020013;4,63147965;0,8529259553;4,63147965;4,63147965
0,0228093;155,8763311;23,40931111;22,43076289;34,1764105;31,64761742;0;3,833524045;33,36051523;12,8872872;4,894056372;1,305169383;34,01288071;10,84820665
0,0224372;21,14434956;0;1,658406575;2,404488974;1,161018309;1,326814398;5,721302123;5,47260799;2,238692885;4,726525591;0,9952222202;1,57550853;1,161018309
0,00248571;1928,712118;74,32966838;75,86242965;45,21082508;59,00406725;75,09604902;60,53682851;75,09604902;0;37,54822566;66,66706897;47,50996697;52,87382679
0,00151429;3243,652801;66,66622642;94,3392613;0;23,89898897;86,79182983;71,69762727;86,79182983;79,24505874;148,4266554;98,11264685;93,081246;94,3392613
0,0153333;305,1371851;21,49113368;21,36656819;17,51547286;25,46614232;18,01243046;11,4287205;13,54046422;26,95701512;6,459796652;0;26,70853632;24,22374831
0,00663631;2350,126652;226,7644218;262,5162176;715,3085073;292,7981062;216,8085879;206,8346717;83,52367505;256,9558987;0;185,9902566;217,8664047;178,6714304
0,0572797;29,8980267;3,463181546;0;3,390031722;3,367685236;0,4567063026;0,03037725407;3,562518658;3,593070494;0,3409584897;8,119979679;0,2699036482;3,550472506
0,0331134;37,74906835;16,44107823;11,38783695;10,94541787;10,76633629;14,67109992;0;15,67190322;10,01135492;16,04426003;10,74882072;10,61896392;10,34143277
0,0188524;173,5450128;0;6,005070972;2,867008975;3,782542276;3,807472789;6,226262969;3,719420339;2,936496149;2,184867709;6,163141032;2,809721839;6,592264115
0,031531;21,75478101;0;1,378008944;1,853731249;1,615870096;1,41574958;2,091592401;0,8569344455;1,665028068;1,782055755;0,9777679109;1,63458184;3,337350544
0,0380399;14,49294031;1,746324254;1,486596968;1,580445795;1,711886729;2,203212942;1,455314026;0;1,655367128;1,949531939;1,082810417;1,802580974;1,764988867
0,0102731;440,3471201;9,406118893;18,37322717;0;35,27464933;34,04522491;17,97217977;34,52025192;25,49181844;34,99430552;36,18674013;32,6464261;29,42149887
0,00825688;509,5946653;11,59626881;28,4758892;27,80977803;15,16916802;0,7265456201;4,768629313;32,8056118;20,86126963;13,0041856;0;32,71477846;25,62977783
0,0342695;20,38022148;3,579859642;1,259720743;2,839843009;1,786428165;0;3,45905251;1,758123112;2,793446067;4,039160186;3,09254585;2,793446067;1,306117685
0,0343317;138,3563878;12,47156418;2,624979247;6,50768823;10,99304724;13,40685139;17,82026524;0;11,59249324;10,21242758;11,51967424;10,63856436;6,789060839
0,0148978;1790,883218;213,1583187;205,3470982;73,64778692;98,00843078;50,93839359;295,9269154;133,222355;144,4166253;14,73976023;0;46,74448576;232,5866907
0,0266877;141,4528041;0,5493167264;8,880870214;0;7,959846671;9,104568771;11,371156;10,59326956;9,370983637;11,53452714;0,4818699251;11,68403422;7,3899212
0,0490749;88,34393957;3,51320125;9,905267255;0,2956704955;0,1585331809;3,165976905;3,200617831;3,069797391;3,430470566;8,845458676;0;9,680101233;6,989520101
0,0344958;148,5172108;10,83726135;13,58600177;10,24559512;12,23105422;9,524058001;12,71980937;12,12147566;10,96104453;0;10,53374614;6,512387015;11,70693244
0,034195;140,5804942;5,725983331;5,111273578;7,173270946;1,017107764;4,180728177;0;3,946483404;1,530340693;3,770141834;8,190963591;1,479748501;9,467758444
0,0206084;297,7261699;10,51221832;1,093243532;8,937132431;6,24017391;7,033054483;8,768269249;3,976533841;0;10,74464781;7,810892646;7,652704722;6,288697813
0,0110512;428,7226727;4,094577964;10,22875344;6,487078326;15,10876647;20,05483567;15,54763284;9,394454901;8,599971044;11,13363255;0;8,565585638;10,13464601
0,0212985;185,1585792;10,53266662;12,76991337;6,773716459;0,9333990657;3,439678851;3,259384464;0;5,025706036;11,34258281;11,39845529;9,83261732;0,7000492992
0,00815738;1239,523229;2,732494992;452,9275331;61,51386842;53,57259316;75,79173705;53,58852965;74,68108633;477,7541318;467,9274473;471,5879363;0;81,49087084
0,0200263;209,6972481;0;36,12998906;33,189356;31,31981444;20,49005558;42,64492193;35,38496877;37,97656082;30,14885426;29,671482;26,07121635;30,89836865
0,000646772;16429,00868;6407,007106;995,5112466;836,3098588;895,8377914;841,4538663;1800,066793;1629,079181;2008,331839;340,4983518;0;1242,474628;2849,663869
0,0391622;22,98823866;3,118568415;3,007491918;2,220508552;0;3,235517923;3,220707723;3,091501499;2,643875982;2,23991502;3,744171676;3,118568415;3,380811088
0,0080157;681,1519892;519,7050788;17,86518957;26,00396721;25,64467233;26,20981324;520,6045635;519,0613421;518,8480108;519,5603628;531,0465711;0;520,4062028
0,00408418;1357,612054;1090,192401;0;1092,141385;1129,292049;1121,351654;1123,293293;1091,752078;1096,301338;1088,928989;46,26412156;1091,889192;1122,808495
0,0214039;233,7676779;17,42859946;3,442363308;18,44290059;0;8,654964749;1,663715491;13,76992044;16,17462238;21,23958718;21,86003485;7,255687048;3,775947374
0,0172216;294,7606494;10,20636875;11,6150648;16,1082594;13,28622195;10,61225438;5,568588284;208,8876759;12,54645329;17,55760208;0;11,55003019;5,28638454
0,0013852;3197,220618;2530,955819;2450,996246;2540,138608;3769,159688;2639,373376;2505,963038;2512,120993;2560,099625;2551,992492;0;1809,998556;2550,808548
0,0177252;377,7446799;206,0648117;0;208,5178164;208,8518042;7,827274163;5,319545054;205,7804707;204,4095412;206,0044456;134,3510934;201,7647192;209,8594092
0,0125798;2166,085311;70,13466033;239,2732794;387,1134676;248,523029;363,8929077;195,259861;346,1819743;0;178,6530787;273,1895579;475,9463584;92,51657419
0,0260205;280,0611057;18,02309717;13,79681405;18,84206683;20,6836917;18,5957226;23,50992487;26,78964662;13,33717646;19,36473165;0;20,95040449;35,42091812
0,0355049;91,84844909;9,297871561;10,39011517;6,574303828;10,00030982;8,077194979;5,678089503;1,816369008;8,004247301;0;9,011713876;6,413199305;7,20463936
0,0431825;14,77404041;2,178891912;2,125166445;0;4,087072309;0,1039773056;0,305679384;2,226827997;2,087882823;0,6905575175;1,656689631;2,609390378;4,430730041
0,0133647;313,3381221;15,71004213;23,64288012;11,8955158;0;25,56211512;19,93161089;13,78108001;16,87879264;14,52483034;18,16052736;6,003127642;19,63530794
0,0118782;404,5789766;31,28672695;25,23446313;21,14798538;0;20,89878938;18,2595006;26,64881884;25,82798741;8,301762893;20,18992777;11,06059841;18,29906888
0,0354175;17,44335427;1,127973459;1,474412367;2,122114774;0;1,537940284;1,835533282;1,231876897;1,40551987;0,5796569492;2,410390344;2,184230959;2,109973883
0,0163524;305,429784;11,32066241;5,66889264;16,74433111;2,546415205;17,80900663;19,30603459;0;23,34213938;11,64293926;5,481152614;23,42408454;27,92006066
0,0102922;149,8455141;15,62153864;21,6795243;14,2875187;21,2228678;21,0703251;5,372029304;16,19284507;15,08812499;5,029051126;10,63038029;21,18400342;0
0,00917451;427,652158;25,34729375;19,96172003;29,66469054;68,24985749;37,9572315;17,99540248;31,24624639;89,13489658;0;36,6743292;33,46870841;25,68954636
0,00118634;1447,735051;687,2793634;712,1575602;694,1534467;694,1534467;623,4452181;641,4501745;51,64455384;646,6872903;0;671,2384308;769,4472074;698,4085507
0,0078932;147,1393098;17,26942178;20,71352557;19,53263569;20,56580348;17,07267015;20,07386104;21,30390716;21,94344499;0;19,58179192;15,05536411;21,15631176
0,00209561;890,5230458;22,71892194;56,42462099;103,3517687;63,68694557;66,10819761;61,63885456;45,43736669;72,43952835;77,83986524;64,61841659;0;52,32796179
